position,x,y
514,12.203226971485783,0.5398097850393544
515,5.465735691261953,0.4758704234093809
516,3.737969320420717,0.6091496827118823
517,2.972200642041415,0.5053970005672456
518,2.857081714002695,0.6253443375199743
519,2.553082725247801,0.3630431959145816
520,1.9771284733613723,2.251448965301192
521,0.3928677566930279,3.5045934366672045
522,0.5174773588332792,5.33848962067247
523,0.4309313314713006,7.824622822620515
524,0.5674924654551394,10.546547241984667
525,0.5473455897068271,22.108441354701572
526,0.576212632749603,13.027820927717158
527,0.5352425763858478,8.953339310578103
528,1.655305750586521,5.365401418124938
529,0.6128915362842439,1.0068002562652107
530,0.7989154877246242,0.5127388535031847
531,0.661066832017135,0.37510790503635355
532,0.7482470818510515,0.3467070872731988
533,0.5532042912116257,0.3963473626669172
534,0.7818563737817733,0.4398844724743884
535,0.6324162955294632,0.3171419608119613
536,2.35676443620244,1.295521448499071
537,2.918644075122117,0.1735668789808917
538,5.272178548295913,0.26936668417224263
539,10.899771519105837,0.3268972971689955
540,12.41245877536127,0.3140304180747261
541,17.96303237443346,0.30763718538647555
542,12.92519836264914,0.321656050955414
543,5.689572024592348,0.3489512421027428
544,3.3470729286963308,1.5337104782315338
545,0.8138073592732079,0.5002583037838714
546,0.4377741192007354,0.6813790749975273
547,0.40011138223520704,0.5592447375409305
548,0.41873602706887925,0.6264299464371543
549,0.4142020093862392,0.49995583154975193
550,0.3943582958613453,0.6734857122993151
551,0.3231029699036992,0.776892212433205
552,1.1662137394378191,2.8531959682658283
553,0.2651451301532718,8.384721166511616
554,0.3968393502588356,8.952456418262638
555,0.344813161251522,9.495281128319649
556,0.3581188990880766,12.498231298918231
557,0.38773308842736354,6.770675375979814
558,0.34739638971338793,5.602899008054141
559,0.6274928938957587,2.397692931383321
560,1.8140297683418771,2.061598977926351
561,1.4251659905001421,0.33231610061051065
562,1.7266740426262503,0.3089171974522293
563,1.6901832843097642,0.25796178343949044
564,2.3765018285724286,0.2719331927756687
565,6.971893892318656,0.25796178343949044
566,17.670168156438276,0.26504695818914514
567,6.267877263549104,0.1178343949044586
568,5.7726903016917746,1.1114649681528663
569,5.373125485939285,0.08917197452229299
570,22.070205207914395,0.2340764331210191
571,16.103272513404395,0.21337579617834396
572,6.108382456912663,0.24301236847603752
573,3.1228323235351207,0.20063694267515925
574,2.516069503731898,0.21656050955414013
575,2.300870509633068,0.28490349692847705
576,2.3149344196662924,1.5308755651217107
577,0.5489950954616113,1.3230959029427518
578,0.40461967353510825,1.5380516421781425
579,0.392900547389322,1.4786451548281165
580,0.3532000715816388,1.5976074296902456
581,0.3953098095048158,1.9598915012512013
582,0.3863921698316902,5.30358215482084
583,0.28947601766472425,6.896538071599156
584,1.1871205300938903,17.28706663049582
585,0.46709544383312196,16.409504045221198
586,0.6187868610804204,4.1398250818755695
587,0.7873630710514821,2.140817320777392
588,0.8636222719350687,1.816128928109427
589,0.7813340448655557,2.1665317254450884
590,0.6379530524412919,2.329479925863945
591,3.614149141766731,1.7704764498953656
592,4.5761931565514695,1.7690083281533187
593,1.7234104582138858,0.29730362174463193
594,1.402462053622755,0.2515923566878981
595,1.5049225554020735,0.20382165605095542
596,1.8922479377728791,0.22929936305732485
597,2.129837673496803,0.2356687898089172
598,2.678291023796769,0.23248407643312102
599,15.495125330324727,0.10509554140127389
600,23.278423784695118,1.1842867051075936
601,11.366719836135193,0.1337579617834395
602,8.090227091415876,0.39171974522292996
603,7.017866801072003,0.267515923566879
604,2.822078632519518,0.3853503184713376
605,2.3593407140571125,0.3343949044585987
606,2.0429714257820573,0.35668789808917195
607,1.796324177471424,0.39383412089799097
608,2.0003460760027383,2.028581964146733
609,0.673062168217354,2.655904430728125
610,0.9097389874361183,3.9401303060879935
611,4.022763742056548,4.7724294968147065
612,0.739949174629942,13.541183722438827
613,0.6330960931012771,20.82025181160186
614,0.5253779808331026,20.332040083083527
615,0.44167614236088976,4.056999919577475
616,1.2107873924627894,2.491675727900541
617,0.3065966090935427,0.5456442979895456
618,0.4628381705990946,0.6167239013878185
619,0.39876701252773544,0.6152026176211416
620,0.3751532949728109,0.7237564620799477
621,0.4613017021083821,0.5839488294898575
622,0.4322731440620442,0.5550149703732841
623,0.8862854284660634,0.5094760083836193
624,2.731849197013921,1.7696423604256308
625,3.7808557982458764,0.5773587677109839
626,4.842784807608937,0.5749689809489147
627,18.14624093722177,0.5383047165298589
628,11.237716047614331,0.5052748819799104
629,13.818728159651004,0.31657126143411346
630,25.050677570805316,0.452172697504904
631,8.933543620058497,0.3440139767151298
632,3.0910943414261354,1.4532132525314778
633,1.0266211726310173,0.41498323075282684
634,1.0632021263648996,0.4260755655444669
635,0.7120574829543947,0.6284059454198386
636,0.7421754797278903,0.6926930181213666
637,0.806431204864423,0.6508660866918652
638,0.9574012367416802,0.5562460752971407
639,0.5252938943809538,1.3456639584302896
640,1.642335927653624,7.59264409006379
641,0.5395855061604903,14.850365832907498
642,0.30789287557640815,23.484442951892227
643,0.2929104328385687,17.662844109747354
644,0.2955419784389857,6.6469123807886366
645,0.29408376003287473,6.15834951911739
646,0.3267058127525119,3.0628250012871967
647,0.23196244282282763,2.4182809776199576
648,1.0101613101807112,2.124799844271406
